Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Metro Quadrado;Valor m2;Tipo Agregado
Apartamento;Praça Seca;2;1;1;63;1100.0;361.0;0.0;3969;17.46;Apartamento
Apartamento;Barra da Tijuca;3;2;2;480;15000.0;2750.0;650.0;230400;31.25;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;1;72;1580.0;900.0;140.0;5184;21.94;Apartamento
Apartamento;Laranjeiras;2;0;0;51;1900.0;450.0;25.0;2601;37.25;Apartamento
Apartamento;Botafogo;1;0;0;17;1100.0;330.0;15.0;289;64.71;Apartamento
Apartamento;Botafogo;3;0;0;100;6050.0;1155.0;234.0;10000;60.5;Apartamento
Apartamento;Lagoa;2;1;1;90;2700.0;1350.0;250.0;8100;30.0;Apartamento
Apartamento;Lagoa;3;3;3;230;6000.0;4600.0;990.0;52900;26.09;Apartamento
Apartamento;Pechincha;2;1;1;62;1700.0;500.0;67.0;3844;27.42;Apartamento
Apartamento;Leblon;2;2;1;113;3500.0;1365.0;387.0;12769;30.97;Apartamento
Apartamento;Flamengo;1;0;0;49;1700.0;440.0;68.0;2401;34.69;Apartamento
Apartamento;Méier;1;0;0;53;900.0;484.0;37.0;2809;16.98;Apartamento
Apartamento;Vila Isabel;2;1;0;63;1300.0;500.0;0.0;3969;20.63;Apartamento
Casa;Vila da Penha;1;0;0;40;850.0;0.0;0.0;1600;21.25;Casa
Quitinete;Copacabana;1;0;0;30;2600.0;500.0;0.0;900;86.67;Apartamento
Quitinete;Copacabana;1;0;0;30;3200.0;400.0;50.0;900;106.67;Apartamento
Quitinete;Centro;1;0;1;15;750.0;0.0;0.0;225;50.0;Apartamento
Apartamento;Lagoa;3;3;1;250;11000.0;3500.0;889.0;62500;44.0;Apartamento
Apartamento;Humaitá;3;1;0;95;2300.0;1300.0;120.0;9025;24.21;Apartamento
Apartamento;Flamengo;1;0;0;37;2300.0;485.0;56.0;1369;62.16;Apartamento
Apartamento;Curicica;1;1;0;45;700.0;356.0;126.0;2025;15.56;Apartamento
Apartamento;Barra da Tijuca;2;1;0;90;2000.0;980.0;1600.0;8100;22.22;Apartamento
Apartamento;Barra da Tijuca;1;1;1;80;1700.0;980.0;250.0;6400;21.25;Apartamento
Casa;Vaz Lobo;1;0;0;35;400.0;0.0;0.0;1225;11.43;Casa
Apartamento;Barra da Tijuca;2;1;1;70;2200.0;1000.0;70.0;4900;31.43;Apartamento
Apartamento;Barra da Tijuca;4;3;1;190;5500.0;1600.0;435.0;36100;28.95;Apartamento
Apartamento;Copacabana;3;1;0;140;3500.0;1250.0;0.0;19600;25.0;Apartamento
Apartamento;Tijuca;1;1;1;87;1400.0;1057.0;162.0;7569;16.09;Apartamento
Apartamento;Barra da Tijuca;4;3;2;210;5300.0;2080.0;500.0;44100;25.24;Apartamento
Casa de Condomínio;Santíssimo;2;1;0;70;800.0;200.0;0.0;4900;11.43;Casa
Apartamento;Méier;1;0;0;50;1000.0;390.0;16.0;2500;20.0;Apartamento
Apartamento;Flamengo;4;1;0;240;6000.0;2050.0;701.0;57600;25.0;Apartamento
Apartamento;Leblon;4;3;4;300;30000.0;4273.0;1557.0;90000;100.0;Apartamento
Apartamento;Ipanema;3;1;1;140;7200.0;2900.0;500.0;19600;51.43;Apartamento
Casa de Condomínio;Jardim Botânico;4;4;1;380;12000.0;870.0;1290.0;144400;31.58;Casa
Apartamento;Jardim Botânico;2;1;1;86;4100.0;830.0;257.0;7396;47.67;Apartamento
Apartamento;Recreio dos Bandeirantes;4;3;4;203;6000.0;1200.0;420.0;41209;29.56;Apartamento
Apartamento;Leblon;3;1;0;110;6200.0;885.0;0.0;12100;56.36;Apartamento
Casa de Condomínio;Barra da Tijuca;4;4;3;280;11000.0;1200.0;1100.0;78400;39.29;Casa
Apartamento;Tijuca;2;1;0;60;1800.0;420.0;0.0;3600;30.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;140;4500.0;910.0;420.0;19600;32.14;Apartamento
Apartamento;Andaraí;1;0;1;30;1100.0;580.0;0.0;900;36.67;Apartamento
Apartamento;Pechincha;2;1;0;52;700.0;420.0;35.0;2704;13.46;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;75;2300.0;1220.0;134.0;5625;30.67;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;0;55;1000.0;390.0;36.0;3025;18.18;Apartamento
Apartamento;Água Santa;2;1;0;70;800.0;250.0;14.0;4900;11.43;Apartamento
Apartamento;Lagoa;2;1;0;77;2700.0;1050.0;302.0;5929;35.06;Apartamento
Apartamento;Copacabana;3;1;1;194;7500.0;1710.0;4641.0;37636;38.66;Apartamento
Apartamento;Leblon;3;3;1;208;8000.0;1700.0;965.0;43264;38.46;Apartamento
Quitinete;Copacabana;1;0;0;25;1200.0;318.0;0.0;625;48.0;Apartamento
Apartamento;Gávea;3;1;2;220;7000.0;3200.0;450.0;48400;31.82;Apartamento
Apartamento;Barra da Tijuca;3;2;1;204;4600.0;2321.0;489.0;41616;22.55;Apartamento
Apartamento;Barra da Tijuca;3;1;3;80;2800.0;1300.0;0.0;6400;35.0;Apartamento
Apartamento;Leblon;4;2;2;205;15000.0;6000.0;772.0;42025;73.17;Apartamento
Apartamento;Barra da Tijuca;3;2;1;165;6500.0;1503.0;330.0;27225;39.39;Apartamento
Apartamento;Leblon;3;2;1;140;4500.0;2552.0;595.0;19600;32.14;Apartamento
Apartamento;Laranjeiras;3;1;1;150;3200.0;1504.0;301.0;22500;21.33;Apartamento
Apartamento;Moneró;1;1;0;47;1200.0;290.0;49.0;2209;25.53;Apartamento
Apartamento;Tijuca;2;1;0;70;1850.0;748.0;48.0;4900;26.43;Apartamento
Apartamento;Leblon;2;1;1;82;5900.0;1128.0;300.0;6724;71.95;Apartamento
Apartamento;Grajaú;2;0;0;70;1300.0;447.0;0.0;4900;18.57;Apartamento
Apartamento;Recreio dos Bandeirantes;4;2;2;160;1900.0;830.0;0.0;25600;11.88;Apartamento
Apartamento;Barra da Tijuca;4;4;4;330;20000.0;1800.0;10500.0;108900;60.61;Apartamento
Casa;Itanhangá;3;2;1;321;9000.0;1400.0;0.0;103041;28.04;Casa
Casa;Taquara;3;1;0;100;2100.0;250.0;0.0;10000;21.0;Casa
Apartamento;Barra da Tijuca;3;2;1;140;4900.0;1600.0;3580.0;19600;35.0;Apartamento
Apartamento;Flamengo;2;1;1;60;3400.0;978.0;130.0;3600;56.67;Apartamento
