Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Metro Quadrado;Valor m2;Tipo Agregado
Apartamento;Lagoa;4;2;2;169;25000.0;3710.0;1197.0;28561;147.93;Apartamento
Apartamento;Leblon;2;1;1;82;3300.0;1020.0;270.0;6724;40.24;Apartamento
Apartamento;Leblon;4;2;2;250;17000.0;5000.0;1000.0;62500;68.0;Apartamento
Apartamento;Copacabana;4;1;2;230;4500.0;1400.0;250.0;52900;19.57;Apartamento
Apartamento;Botafogo;3;0;0;146;3000.0;850.0;0.0;21316;20.55;Apartamento
Apartamento;Leblon;3;3;1;166;8500.0;3500.0;500.0;27556;51.2;Apartamento
Apartamento;Barra da Tijuca;2;1;1;74;2600.0;1330.0;220.0;5476;35.14;Apartamento
Apartamento;Recreio dos Bandeirantes;3;3;1;111;1700.0;904.0;0.0;12321;15.32;Apartamento
Apartamento;Copacabana;2;0;0;80;2200.0;680.0;173.0;6400;27.5;Apartamento
Apartamento;Vila Isabel;2;1;0;75;1500.0;460.0;90.0;5625;20.0;Apartamento
Apartamento;Flamengo;1;0;0;30;1400.0;370.0;0.0;900;46.67;Apartamento
Apartamento;Botafogo;1;0;0;60;2200.0;645.0;1100.0;3600;36.67;Apartamento
Apartamento;Botafogo;3;1;1;108;2800.0;1160.0;236.0;11664;25.93;Apartamento
Casa;Parque Anchieta;3;4;0;200;1500.0;0.0;0.0;40000;7.5;Casa
Casa;Santa Teresa;1;0;0;22;500.0;98.0;6.0;484;22.73;Casa
Casa de Condomínio;Barra da Tijuca;5;0;5;1000;25000.0;1300.0;1600.0;1000000;25.0;Casa
Apartamento;Flamengo;3;1;1;152;3800.0;1338.0;0.0;23104;25.0;Apartamento
Apartamento;Botafogo;2;1;1;64;3350.0;917.0;152.0;4096;52.34;Apartamento
Apartamento;Recreio dos Bandeirantes;3;0;1;106;2500.0;780.0;250.0;11236;23.58;Apartamento
Apartamento;Ipanema;3;1;0;127;3800.0;1268.0;431.0;16129;29.92;Apartamento
Apartamento;São Cristóvão;2;1;0;53;900.0;689.0;0.0;2809;16.98;Apartamento
Apartamento;Freguesia (Jacarepaguá);1;1;0;50;1200.0;590.0;37.0;2500;24.0;Apartamento
Apartamento;Copacabana;3;1;1;140;5000.0;1400.0;200.0;19600;35.71;Apartamento
Apartamento;Tijuca;3;2;1;120;2580.0;926.0;187.0;14400;21.5;Apartamento
Apartamento;Ipanema;4;5;4;380;30000.0;7000.0;2650.0;144400;78.95;Apartamento
Apartamento;Barra da Tijuca;3;3;3;170;4900.0;1984.0;502.0;28900;28.82;Apartamento
Apartamento;Centro;1;0;0;30;800.0;400.0;0.0;900;26.67;Apartamento
Apartamento;Ipanema;4;2;1;222;8000.0;2600.0;721.0;49284;36.04;Apartamento
Apartamento;Vila Isabel;2;1;0;80;1400.0;626.0;51.0;6400;17.5;Apartamento
Apartamento;Barra da Tijuca;3;2;1;109;3900.0;1554.0;317.0;11881;35.78;Apartamento
Apartamento;Ipanema;5;2;2;300;16000.0;2200.0;4980.0;90000;53.33;Apartamento
Apartamento;Barra da Tijuca;3;2;1;172;2300.0;1600.0;450.0;29584;13.37;Apartamento
Apartamento;Barra da Tijuca;2;1;2;80;2400.0;1300.0;1800.0;6400;30.0;Apartamento
Apartamento;Barra da Tijuca;2;2;1;67;1950.0;740.0;60.0;4489;29.1;Apartamento
Apartamento;Barra da Tijuca;3;2;1;119;3800.0;1580.0;370.0;14161;31.93;Apartamento
Apartamento;Jardim Botânico;3;2;1;110;4200.0;990.0;254.0;12100;38.18;Apartamento
Apartamento;Barra da Tijuca;3;2;3;100;3200.0;1500.0;262.0;10000;32.0;Apartamento
Apartamento;Ipanema;3;2;2;163;5500.0;2400.0;650.0;26569;33.74;Apartamento
Apartamento;Tijuca;3;1;1;81;1750.0;596.0;89.0;6561;21.6;Apartamento
Apartamento;Leblon;3;2;1;170;7200.0;2200.0;0.0;28900;42.35;Apartamento
Quitinete;Catete;1;0;0;27;1800.0;420.0;0.0;729;66.67;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;0;0;60;900.0;315.0;0.0;3600;15.0;Apartamento
Apartamento;Recreio dos Bandeirantes;4;2;2;320;4000.0;1140.0;450.0;102400;12.5;Apartamento
Apartamento;Catete;2;0;1;70;2300.0;579.0;76.0;4900;32.86;Apartamento
Apartamento;Praça da Bandeira;1;0;0;39;900.0;437.0;0.0;1521;23.08;Apartamento
Apartamento;Barra da Tijuca;3;2;1;220;7000.0;3300.0;810.0;48400;31.82;Apartamento
Apartamento;Recreio dos Bandeirantes;4;2;1;200;3800.0;800.0;0.0;40000;19.0;Apartamento
Apartamento;Ipanema;1;0;1;40;3500.0;750.0;50.0;1600;87.5;Apartamento
Apartamento;Vila da Penha;2;1;0;65;900.0;190.0;0.0;4225;13.85;Apartamento
Apartamento;Barra da Tijuca;3;3;1;185;10000.0;1750.0;750.0;34225;54.05;Apartamento
Apartamento;Leblon;3;0;0;80;4000.0;1155.0;0.0;6400;50.0;Apartamento
Apartamento;Barra da Tijuca;3;2;1;127;4200.0;1890.0;486.0;16129;33.07;Apartamento
Apartamento;Barra da Tijuca;2;1;1;78;2100.0;890.0;140.0;6084;26.92;Apartamento
Apartamento;Leblon;4;2;1;140;15000.0;1700.0;600.0;19600;107.14;Apartamento
Apartamento;Lagoa;2;2;1;100;3600.0;750.0;150.0;10000;36.0;Apartamento
Casa de Condomínio;Barra da Tijuca;4;3;3;266;7900.0;1600.0;6295.0;70756;29.7;Casa
Apartamento;Barra da Tijuca;1;1;1;60;2900.0;2000.0;500.0;3600;48.33;Apartamento
Casa de Vila;Benfica;2;0;0;48;1200.0;40.0;14.0;2304;25.0;Apartamento
Apartamento;Jacarepaguá;3;1;1;70;1500.0;530.0;74.0;4900;21.43;Apartamento
Apartamento;Barra da Tijuca;2;1;1;90;2800.0;1100.0;120.0;8100;31.11;Apartamento
Apartamento;Catete;1;0;1;36;1600.0;416.0;0.0;1296;44.44;Apartamento
Apartamento;Centro;0;0;0;48;2000.0;349.0;0.0;2304;41.67;Apartamento
Casa de Condomínio;Barra da Tijuca;4;6;4;763;11000.0;800.0;2040.0;582169;14.42;Casa
Apartamento;Santa Teresa;1;0;0;49;660.0;235.0;14.0;2401;13.47;Apartamento
Apartamento;Leblon;3;1;1;150;6700.0;1900.0;350.0;22500;44.67;Apartamento
Apartamento;Barra da Tijuca;1;1;0;70;1800.0;967.0;214.0;4900;25.71;Apartamento
Apartamento;Barra da Tijuca;3;2;1;140;2300.0;1600.0;450.0;19600;16.43;Apartamento
Apartamento;Barra da Tijuca;2;1;1;100;2600.0;1700.0;233.0;10000;26.0;Apartamento
Apartamento;Copacabana;4;1;2;260;13000.0;2500.0;669.0;67600;50.0;Apartamento
Casa;Laranjeiras;3;1;1;300;7000.0;180.0;573.0;90000;23.33;Casa
Quitinete;Largo do Machado;1;0;0;35;1900.0;285.0;17.0;1225;54.29;Apartamento
Apartamento;Barra da Tijuca;4;3;3;170;12000.0;1700.0;0.0;28900;70.59;Apartamento
Apartamento;Jacarepaguá;2;1;0;44;700.0;272.0;13.0;1936;15.91;Apartamento
Apartamento;Glória;2;0;0;112;2300.0;782.0;194.0;12544;20.54;Apartamento
Apartamento;Flamengo;3;0;1;120;3000.0;977.0;150.0;14400;25.0;Apartamento
Apartamento;Laranjeiras;2;0;0;100;4000.0;650.0;120.0;10000;40.0;Apartamento
Apartamento;Jardim Guanabara;3;1;1;90;2000.0;380.0;998.0;8100;22.22;Apartamento
Apartamento;Glória;1;0;0;49;1400.0;477.0;242.0;2401;28.57;Apartamento
Casa de Condomínio;Barra da Tijuca;5;5;4;806;30000.0;2695.0;2753.0;649636;37.22;Casa
Apartamento;Urca;2;0;0;90;3500.0;500.0;68.0;8100;38.89;Apartamento
Apartamento;Estácio;2;1;0;72;1300.0;790.0;0.0;5184;18.06;Apartamento
Quitinete;Copacabana;1;0;0;21;700.0;508.0;0.0;441;33.33;Apartamento
Apartamento;Cachambi;3;1;1;84;1350.0;739.0;14.0;7056;16.07;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;70;2100.0;430.0;1100.0;4900;30.0;Apartamento
Casa de Vila;Água Santa;1;0;0;40;600.0;100.0;14.0;1600;15.0;Apartamento
Apartamento;Recreio dos Bandeirantes;4;4;4;200;3500.0;1080.0;500.0;40000;17.5;Apartamento
Apartamento;Andaraí;2;2;1;88;1800.0;680.0;100.0;7744;20.45;Apartamento
Apartamento;Copacabana;4;1;1;130;5500.0;1200.0;0.0;16900;42.31;Apartamento
Apartamento;Barra da Tijuca;3;2;2;212;5500.0;1200.0;682.0;44944;25.94;Apartamento
Apartamento;Maracanã;3;1;1;81;2000.0;600.0;89.0;6561;24.69;Apartamento
Apartamento;Gávea;2;2;1;103;4500.0;1123.0;384.0;10609;43.69;Apartamento
Apartamento;Copacabana;3;1;0;200;8500.0;1600.0;800.0;40000;42.5;Apartamento
Apartamento;Lagoa;3;1;1;125;6000.0;1832.0;418.0;15625;48.0;Apartamento
Apartamento;Tijuca;2;1;0;69;1400.0;655.0;0.0;4761;20.29;Apartamento
Apartamento;Copacabana;2;0;0;56;2500.0;550.0;131.0;3136;44.64;Apartamento
Apartamento;Laranjeiras;3;1;1;114;3400.0;1400.0;232.0;12996;29.82;Apartamento
Apartamento;Barra da Tijuca;1;1;0;65;1600.0;915.0;235.0;4225;24.62;Apartamento
Apartamento;Ramos;2;1;0;64;1200.0;494.0;0.0;4096;18.75;Apartamento
Casa;Recreio dos Bandeirantes;3;2;3;151;4000.0;650.0;0.0;22801;26.49;Casa
Apartamento;Tijuca;1;1;0;65;1250.0;790.0;81.0;4225;19.23;Apartamento
Casa de Condomínio;Barra da Tijuca;4;4;2;600;30000.0;1100.0;1300.0;360000;50.0;Casa
Apartamento;Botafogo;1;1;0;62;2000.0;770.0;94.0;3844;32.26;Apartamento
Apartamento;Barra da Tijuca;2;1;1;95;2600.0;1800.0;280.0;9025;27.37;Apartamento
Apartamento;Flamengo;1;0;0;34;1800.0;418.0;56.0;1156;52.94;Apartamento
Apartamento;Copacabana;4;1;0;320;4500.0;1970.0;600.0;102400;14.06;Apartamento
Apartamento;Copacabana;2;1;0;127;2500.0;1131.0;252.0;16129;19.69;Apartamento
Apartamento;Tijuca;2;1;0;66;1300.0;583.0;0.0;4356;19.7;Apartamento
Apartamento;Barra da Tijuca;4;2;4;292;10000.0;3700.0;800.0;85264;34.25;Apartamento
Apartamento;Botafogo;3;1;1;101;4800.0;1340.0;342.0;10201;47.52;Apartamento
Apartamento;Flamengo;2;1;0;109;3500.0;1319.0;155.0;11881;32.11;Apartamento
Casa de Condomínio;Barra da Tijuca;3;6;1;420;6900.0;992.0;773.0;176400;16.43;Casa
Apartamento;Botafogo;1;0;1;65;2400.0;507.0;76.0;4225;36.92;Apartamento
Apartamento;Flamengo;3;1;1;140;5200.0;700.0;250.0;19600;37.14;Apartamento
Apartamento;Tijuca;1;0;0;34;1400.0;228.0;24.0;1156;41.18;Apartamento
Apartamento;Leblon;1;2;0;130;8500.0;1920.0;356.0;16900;65.38;Apartamento
Apartamento;Botafogo;2;1;0;92;3300.0;850.0;280.0;8464;35.87;Apartamento
Casa;Vila Valqueire;2;1;0;60;1600.0;0.0;0.0;3600;26.67;Casa
Apartamento;Glória;3;0;0;92;2500.0;470.0;0.0;8464;27.17;Apartamento
Apartamento;Ipanema;4;4;3;450;35000.0;12815.0;3000.0;202500;77.78;Apartamento
Apartamento;Humaitá;3;1;0;84;1800.0;1500.0;0.0;7056;21.43;Apartamento
Apartamento;Tijuca;1;1;0;48;1400.0;556.0;46.0;2304;29.17;Apartamento
Apartamento;Barra da Tijuca;1;1;0;70;2700.0;900.0;172.0;4900;38.57;Apartamento
Casa de Condomínio;Barra da Tijuca;6;6;3;622;9950.0;1300.0;1485.0;386884;16.0;Casa
Apartamento;Camorim;2;1;1;50;1100.0;450.0;0.0;2500;22.0;Apartamento
Apartamento;Ipanema;4;4;2;400;30000.0;6500.0;2000.0;160000;75.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);4;3;2;261;2800.0;2532.0;4442.0;68121;10.73;Apartamento
Apartamento;Recreio dos Bandeirantes;3;3;3;191;3500.0;1350.0;788.0;36481;18.32;Apartamento
Apartamento;Lagoa;3;2;1;134;5000.0;1877.0;490.0;17956;37.31;Apartamento
Apartamento;Ipanema;3;1;1;125;5500.0;1680.0;222.0;15625;44.0;Apartamento
Casa de Condomínio;Barra da Tijuca;4;3;2;466;7500.0;2695.0;1124.0;217156;16.09;Casa
Casa;Campo Grande;2;1;0;110;1050.0;0.0;0.0;12100;9.55;Casa
Apartamento;Barra da Tijuca;4;4;4;240;13000.0;3000.0;507.0;57600;54.17;Apartamento
Apartamento;Centro;1;0;0;25;1000.0;321.0;24.0;625;40.0;Apartamento
Apartamento;Copacabana;4;4;2;200;8000.0;2900.0;745.0;40000;40.0;Apartamento
Apartamento;Ipanema;3;1;1;120;5000.0;1871.0;774.0;14400;41.67;Apartamento
Apartamento;Copacabana;3;1;1;105;4000.0;1359.0;238.0;11025;38.1;Apartamento
Apartamento;Copacabana;1;0;0;35;1700.0;480.0;0.0;1225;48.57;Apartamento
Apartamento;Flamengo;4;1;1;290;9200.0;1800.0;845.0;84100;31.72;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;82;1400.0;861.0;0.0;6724;17.07;Apartamento
Apartamento;Barra da Tijuca;2;1;1;84;2700.0;1282.0;0.0;7056;32.14;Apartamento
Casa;Campo Grande;2;1;0;239;10000.0;0.0;0.0;57121;41.84;Casa
Apartamento;Copacabana;2;0;0;100;2400.0;940.0;0.0;10000;24.0;Apartamento
Apartamento;Jardim Botânico;3;2;2;222;4900.0;1911.0;627.0;49284;22.07;Apartamento
Apartamento;Tijuca;1;0;1;70;1200.0;300.0;25.0;4900;17.14;Apartamento
Apartamento;Copacabana;3;2;1;275;8900.0;2122.0;750.0;75625;32.36;Apartamento
Apartamento;Jacarepaguá;2;1;0;50;1200.0;490.0;30.0;2500;24.0;Apartamento
Apartamento;Leblon;2;1;0;70;4200.0;1100.0;200.0;4900;60.0;Apartamento
Apartamento;Barra da Tijuca;4;3;4;206;8000.0;2700.0;4500.0;42436;38.83;Apartamento
Apartamento;Lagoa;1;1;0;50;3000.0;1600.0;380.0;2500;60.0;Apartamento
Apartamento;Cascadura;2;0;0;70;700.0;310.0;0.0;4900;10.0;Apartamento
Quitinete;Centro;1;0;0;23;1290.0;326.0;136.0;529;56.09;Apartamento
Apartamento;Lapa;2;0;0;70;2000.0;430.0;0.0;4900;28.57;Apartamento
Apartamento;Gávea;2;1;0;90;4600.0;900.0;270.0;8100;51.11;Apartamento
Apartamento;Barra da Tijuca;3;1;1;92;3500.0;1200.0;0.0;8464;38.04;Apartamento
Apartamento;Leblon;3;2;1;170;7700.0;2400.0;0.0;28900;45.29;Apartamento
Apartamento;Copacabana;3;2;1;156;4970.0;1600.0;380.0;24336;31.86;Apartamento
Apartamento;Barra da Tijuca;2;1;1;72;2100.0;1200.0;230.0;5184;29.17;Apartamento
Quitinete;Botafogo;0;0;0;20;1000.0;405.0;0.0;400;50.0;Apartamento
Casa de Condomínio;Campo Grande;2;1;0;74;1200.0;0.0;0.0;5476;16.22;Casa
Apartamento;Barra da Tijuca;1;0;1;90;4000.0;3067.0;275.0;8100;44.44;Apartamento
Apartamento;Leblon;3;1;1;111;5500.0;1250.0;947.0;12321;49.55;Apartamento
Apartamento;Leblon;4;2;0;260;8500.0;3000.0;600.0;67600;32.69;Apartamento
Apartamento;Laranjeiras;2;2;1;149;3500.0;2416.0;400.0;22201;23.49;Apartamento
Apartamento;Botafogo;2;1;1;90;2000.0;1200.0;125.0;8100;22.22;Apartamento
Apartamento;Vila Isabel;2;0;0;52;1500.0;250.0;0.0;2704;28.85;Apartamento
Apartamento;Copacabana;4;1;1;160;3300.0;1600.0;0.0;25600;20.62;Apartamento
Apartamento;Rocha Miranda;1;1;0;35;699.0;99.0;0.0;1225;19.97;Apartamento
Apartamento;Centro;1;1;0;42;2400.0;600.0;150.0;1764;57.14;Apartamento
Quitinete;Botafogo;1;0;0;25;1350.0;206.0;0.0;625;54.0;Apartamento
Casa;Jardim Botânico;4;3;4;406;20000.0;0.0;1912.0;164836;49.26;Casa
Apartamento;Recreio dos Bandeirantes;3;1;1;90;2100.0;750.0;1386.0;8100;23.33;Apartamento
Apartamento;Leblon;4;2;1;134;10000.0;1800.0;300.0;17956;74.63;Apartamento
Apartamento;Vila Isabel;2;0;0;71;1100.0;525.0;21.0;5041;15.49;Apartamento
Apartamento;Taquara;2;1;0;80;800.0;450.0;50.0;6400;10.0;Apartamento
Apartamento;Leblon;4;3;1;170;10000.0;3760.0;500.0;28900;58.82;Apartamento
Casa de Condomínio;Jacarepaguá;1;0;0;230;2750.0;300.0;400.0;52900;11.96;Casa
Apartamento;Barra da Tijuca;4;2;1;140;5900.0;1300.0;570.0;19600;42.14;Apartamento
Apartamento;Barra da Tijuca;2;1;1;98;2900.0;1080.0;166.0;9604;29.59;Apartamento
Apartamento;Ilha do Governador;2;1;0;72;1500.0;650.0;0.0;5184;20.83;Apartamento
Apartamento;Copacabana;3;1;3;230;6500.0;2300.0;524.0;52900;28.26;Apartamento
Apartamento;Copacabana;4;1;3;220;15000.0;1700.0;550.0;48400;68.18;Apartamento
Apartamento;Leblon;4;2;2;180;11000.0;2890.0;545.0;32400;61.11;Apartamento
Apartamento;Ipanema;2;0;1;65;3500.0;950.0;157.0;4225;53.85;Apartamento
Apartamento;Leblon;1;0;0;50;2000.0;948.0;151.0;2500;40.0;Apartamento
Apartamento;Ipanema;3;1;0;164;6000.0;1485.0;695.0;26896;36.59;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;2;100;2200.0;670.0;211.0;10000;22.0;Apartamento
Apartamento;Copacabana;3;0;0;125;2900.0;820.0;134.0;15625;23.2;Apartamento
Apartamento;Barra da Tijuca;2;1;0;100;2500.0;1715.0;339.0;10000;25.0;Apartamento
Apartamento;Península;4;3;4;289;20000.0;4200.0;6000.0;83521;69.2;Apartamento
Apartamento;Barra da Tijuca;4;3;4;217;5950.0;2460.0;0.0;47089;27.42;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;85;1800.0;908.0;160.0;7225;21.18;Apartamento
Apartamento;Copacabana;1;0;1;35;2000.0;600.0;0.0;1225;57.14;Apartamento
Apartamento;Ipanema;3;1;0;120;5000.0;1700.0;0.0;14400;41.67;Apartamento
Apartamento;Botafogo;1;0;0;29;1200.0;366.0;53.0;841;41.38;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;140;2900.0;1480.0;226.0;19600;20.71;Apartamento
Apartamento;Cachambi;3;2;1;70;2000.0;404.0;0.0;4900;28.57;Apartamento
Apartamento;Vila da Penha;2;0;0;49;1000.0;285.0;0.0;2401;20.41;Apartamento
Apartamento;Copacabana;2;3;2;213;18000.0;3971.0;858.0;45369;84.51;Apartamento
Casa;Vila da Penha;4;4;1;200;4000.0;0.0;0.0;40000;20.0;Casa
Casa;Marechal Hermes;2;1;0;70;1300.0;0.0;0.0;4900;18.57;Casa
Apartamento;Botafogo;2;1;1;80;3500.0;900.0;150.0;6400;43.75;Apartamento
Apartamento;Vila Valqueire;3;2;1;110;1700.0;650.0;110.0;12100;15.45;Apartamento
Apartamento;Ipanema;1;0;1;60;3200.0;675.0;90.0;3600;53.33;Apartamento
Quitinete;Copacabana;0;0;0;25;1000.0;450.0;20.0;625;40.0;Apartamento
Apartamento;Jacarepaguá;2;1;0;47;1000.0;380.0;481.0;2209;21.28;Apartamento
Apartamento;Leblon;2;0;0;50;2800.0;770.0;81.0;2500;56.0;Apartamento
Apartamento;Flamengo;1;1;0;80;3300.0;1000.0;200.0;6400;41.25;Apartamento
Casa;Campo Grande;1;0;0;50;450.0;0.0;2.0;2500;9.0;Casa
Apartamento;Lagoa;2;0;1;68;4500.0;911.0;1767.0;4624;66.18;Apartamento
Casa de Condomínio;Guaratiba;4;4;3;550;5500.0;250.0;0.0;302500;10.0;Casa
Apartamento;Rio Comprido;3;2;1;110;1900.0;890.0;86.0;12100;17.27;Apartamento
Apartamento;Botafogo;1;0;0;40;2380.0;390.0;54.0;1600;59.5;Apartamento
Apartamento;Copacabana;3;0;0;90;3800.0;900.0;102.0;8100;42.22;Apartamento
Apartamento;Leblon;4;2;1;145;8500.0;2120.0;480.0;21025;58.62;Apartamento
Casa de Condomínio;Barra da Tijuca;5;0;5;650;10000.0;2000.0;8000.0;422500;15.38;Casa
Casa de Condomínio;Barra da Tijuca;4;2;4;350;9000.0;1050.0;7000.0;122500;25.71;Casa
Apartamento;Pechincha;1;1;0;46;800.0;585.0;0.0;2116;17.39;Apartamento
Apartamento;Ipanema;3;0;1;180;5500.0;1850.0;307.0;32400;30.56;Apartamento
Apartamento;Portuguesa;2;1;0;58;1200.0;340.0;260.0;3364;20.69;Apartamento
Apartamento;Jardim Botânico;2;1;1;66;3400.0;818.0;0.0;4356;51.52;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;1500.0;1130.0;307.0;4900;21.43;Apartamento
Apartamento;Copacabana;3;1;0;104;3300.0;1200.0;175.0;10816;31.73;Apartamento
Apartamento;Catete;1;0;0;39;1580.0;595.0;24.0;1521;40.51;Apartamento
Apartamento;Copacabana;2;0;0;75;2750.0;800.0;35.0;5625;36.67;Apartamento
Apartamento;Barra da Tijuca;2;1;1;90;3500.0;2027.0;616.0;8100;38.89;Apartamento
Apartamento;Leblon;4;2;4;180;13500.0;3200.0;894.0;32400;75.0;Apartamento
Apartamento;Jardim Guanabara;2;1;0;65;1600.0;50500.0;97.0;4225;24.62;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;73;1500.0;984.0;115.0;5329;20.55;Apartamento
Apartamento;Ipanema;2;1;0;60;3600.0;956.0;199.0;3600;60.0;Apartamento
Apartamento;Tijuca;2;1;0;65;2000.0;592.0;0.0;4225;30.77;Apartamento
Apartamento;Copacabana;3;1;2;160;15500.0;1600.0;435.0;25600;96.88;Apartamento
Quitinete;Centro;1;0;0;30;800.0;400.0;23.0;900;26.67;Apartamento
Apartamento;Méier;2;1;0;52;1000.0;300.0;0.0;2704;19.23;Apartamento
Apartamento;Barra da Tijuca;4;3;1;180;8000.0;2400.0;667.0;32400;44.44;Apartamento
Apartamento;Copacabana;2;1;0;70;2500.0;733.0;130.0;4900;35.71;Apartamento
Apartamento;Gávea;2;1;1;80;3900.0;983.0;212.0;6400;48.75;Apartamento
Apartamento;Leme;4;4;2;300;12000.0;2800.0;680.0;90000;40.0;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;3;160;2600.0;1100.0;0.0;25600;16.25;Apartamento
Apartamento;Copacabana;1;0;0;44;1600.0;562.0;24.0;1936;36.36;Apartamento
Casa de Condomínio;Barra da Tijuca;6;9;5;1100;35000.0;3500.0;0.0;1210000;31.82;Casa
Apartamento;Barra da Tijuca;2;2;1;130;3900.0;1895.0;0.0;16900;30.0;Apartamento
Apartamento;Lagoa;2;1;1;110;3200.0;870.0;218.0;12100;29.09;Apartamento
Apartamento;Leblon;3;1;1;140;10000.0;2000.0;400.0;19600;71.43;Apartamento
Apartamento;Copacabana;3;1;1;125;3795.0;1700.0;210.0;15625;30.36;Apartamento
Casa de Vila;Glória;1;0;0;89;2200.0;0.0;80.0;7921;24.72;Apartamento
Apartamento;Ipanema;4;1;2;200;8000.0;2500.0;0.0;40000;40.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;94;3000.0;1200.0;90.0;8836;31.91;Apartamento
Apartamento;Engenho de Dentro;2;0;0;90;1100.0;320.0;13.0;8100;12.22;Apartamento
Apartamento;Copacabana;3;0;2;200;6000.0;950.0;400.0;40000;30.0;Apartamento
Apartamento;Camorim;3;1;0;58;1000.0;402.0;34.0;3364;17.24;Apartamento
Casa de Condomínio;Barra da Tijuca;5;4;4;474;20000.0;973.0;17300.0;224676;42.19;Casa
Apartamento;Santa Teresa;2;0;0;80;1800.0;627.0;0.0;6400;22.5;Apartamento
Apartamento;Cachambi;2;1;1;88;1400.0;460.0;0.0;7744;15.91;Apartamento
Apartamento;Barra da Tijuca;2;1;2;70;4000.0;1600.0;300.0;4900;57.14;Apartamento
Apartamento;Penha;2;1;0;60;750.0;280.0;0.0;3600;12.5;Apartamento
Apartamento;Barra da Tijuca;2;0;1;77;4700.0;3067.0;389.0;5929;61.04;Apartamento
Casa de Condomínio;Itanhangá;6;0;5;636;24000.0;1900.0;1900.0;404496;37.74;Casa
Apartamento;Barra da Tijuca;3;2;3;127;5500.0;2600.0;565.0;16129;43.31;Apartamento
Apartamento;Barra da Tijuca;1;1;0;55;1800.0;1300.0;331.0;3025;32.73;Apartamento
Apartamento;Vila Isabel;2;1;1;69;1500.0;661.0;109.0;4761;21.74;Apartamento
Apartamento;Praça Seca;3;0;0;48;800.0;300.0;0.0;2304;16.67;Apartamento
Apartamento;Barra da Tijuca;2;1;1;88;2750.0;1110.0;268.0;7744;31.25;Apartamento
Apartamento;Barra da Tijuca;4;2;2;246;8000.0;1800.0;450.0;60516;32.52;Apartamento
Apartamento;Gávea;2;1;1;86;4500.0;950.0;250.0;7396;52.33;Apartamento
Apartamento;Barra da Tijuca;4;3;4;292;25000.0;4902.0;15077.0;85264;85.62;Apartamento
Apartamento;Leblon;2;1;1;115;6900.0;1200.0;220.0;13225;60.0;Apartamento
Apartamento;Penha Circular;3;1;2;80;1500.0;650.0;656.0;6400;18.75;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;85;3000.0;830.0;173.0;7225;35.29;Apartamento
Casa de Condomínio;Itanhangá;5;3;4;220;4500.0;670.0;220.0;48400;20.45;Casa
Apartamento;Campo Grande;2;1;0;65;900.0;308.0;0.0;4225;13.85;Apartamento
Apartamento;Laranjeiras;3;1;0;120;3000.0;1003.0;130.0;14400;25.0;Apartamento
Apartamento;Ipanema;3;1;1;130;7000.0;2000.0;400.0;16900;53.85;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;2;103;2500.0;500.0;250.0;10609;24.27;Apartamento
Apartamento;Copacabana;1;0;0;40;2600.0;490.0;250.0;1600;65.0;Apartamento
Apartamento;Barra da Tijuca;3;2;1;160;4000.0;2000.0;0.0;25600;25.0;Apartamento
Apartamento;Engenho de Dentro;2;1;0;50;1100.0;500.0;150.0;2500;22.0;Apartamento
Apartamento;Tijuca;3;0;0;80;1700.0;500.0;50.0;6400;21.25;Apartamento
Apartamento;Centro;1;0;0;20;1000.0;216.0;21.0;400;50.0;Apartamento
Apartamento;Barra da Tijuca;4;2;4;320;11991.0;600.0;1000.0;102400;37.47;Apartamento
Apartamento;Engenho Novo;3;0;0;55;800.0;785.0;14.0;3025;14.55;Apartamento
Apartamento;Leblon;4;3;1;180;8000.0;1800.0;500.0;32400;44.44;Apartamento
Apartamento;Catete;1;1;0;48;1900.0;725.0;0.0;2304;39.58;Apartamento
Casa de Condomínio;Barra da Tijuca;5;10;5;403;10900.0;855.0;968.0;162409;27.05;Casa
Casa de Vila;Vila Isabel;2;0;0;120;1500.0;230.0;46.0;14400;12.5;Apartamento
Apartamento;Barra da Tijuca;4;4;2;216;9500.0;3893.0;12000.0;46656;43.98;Apartamento
Apartamento;Barra da Tijuca;2;1;0;85;1800.0;1152.0;235.0;7225;21.18;Apartamento
Quitinete;Copacabana;0;0;0;33;1200.0;390.0;0.0;1089;36.36;Apartamento
Apartamento;Recreio dos Bandeirantes;5;2;4;330;4200.0;1200.0;9600.0;108900;12.73;Apartamento
Quitinete;Centro;1;0;0;27;800.0;450.0;15.0;729;29.63;Apartamento
Apartamento;Barra da Tijuca;4;2;4;340;15000.0;1600.0;0.0;115600;44.12;Apartamento
