to_postcode,to_country_id
02315040,32
02316-090,64
02323070,32
02327-180,32
02334130,32
02335-011,32
02337-050,32
02339050,32
02340-001,64
02340002,32
02341002,32
02342080,64
02342-080,32
02342110,32
02344-070,32
02345040,64
02346-000,32
02346010,32
02352010,32
02355000,32
02356-020,96
02356-160,32
02359030,64
02371-000,32
02371-020,32
02373-110,32
02374000,32
02401100,32
02402100,64
02402200,32
02402400,64
02402-400,32
02402-600,32
02403-011,64
02404001,32
02404010,32
02404-010,32
02404-030,32
02404060,32
02404080,32
02404-080,32
02406010,32
02406-010,32
02406030,32
02407004,32
02407030,32
02407-030,32
02408-030,32
02408110,32
02409-030,32
02411000,32
02415001,128
02415030,32
02415090,32
02418-010,32
02419-040,96
02419070,32
02422-140,32
02423090,32
02431040,32
02431-130,32
02435-001,64
02435-030,32
02435-061,32
02435090,32
02435-110,64
02436070,32
02436-070,32
02440055,64
02441000,32
02442010,32
02442140,96
02443-010,64
02443040,96
02450000,32
02451-000,64
02451040,32
02452002,128
02452022,32
02452-060,64
02461000,64
02462-081,32
02466-040,32
02470-000,32
02471-100,32
02471110,32
02471130,32
02471-210,32
02472-100,32
02474-000,32
02510-080,96
02513030,96
02514000,64
02514-000,256
02518000,192
02518-000,32
02519200,32
02521010,32
02521060,32
02521-060,32
02521090,32
02522100,32
02526030,96
02534-010,32
02535-130,32
02537-000,32
02537-010,32
02543-090,64
02543140,32
02550-000,32
02556-010,32
02556-040,64
02558090,64
02611-001,96
02618-130,32
02630-000,64
02713-000,32
02713-035,160
02721000,64
02721031,32
02722-030,32
02723050,64
02728-070,32
02730-030,32
02731050,32
02732-020,32
02733-070,32
02733100,96
02733-100,32
02750010,32
02752-050,96
02764010,32
02804140,32
02811060,32
02839-000,32
02840-130,32
02841-140,32
02841150,32
02845-080,32
02846120,32
02846160,32
02847-001,32
02855250,32
02859210,32
02860-110,32
02863-090,32
02866100,32
02871-050,32
02877100,32
02912010,64
02914-070,32
02918-170,32
02919090,64
02919-110,64
02925-000,32
02925160,64
02926-030,32
02926050,32
02927-000,32
02927-030,32
02927130,32
02927-130,32
02929-140,32
02931060,64
02932-030,32
02937040,32
02937-070,32
02939-010,32
02941-040,32
02943040,32
02945070,32
02951100,32
02962170,32
02962-170,32
02967-000,32
02976-100,32
02987-100,32
03015-000,32
03015-010,32
03035050,32
03040020,32
03040-040,32
03041010,32
03041-010,32
03042000,32
03043020,32
03043-020,96
03043-070,32
03058000,64
03059030,64
03061000,64
03061-000,96
03062000,32
03065-000,32
03067-000,32
03067-050,32
03068-000,32
03080000,32
03081-003,32
03081015,96
03084000,64
03084-030,32
03085-000,32
03085030,32
03086025,32
03087-000,32
03087-010,32
03088000,32
03090020,32
03102030,32
03104-000,32
03112-090,64
03113010,32
03113060,32
03113-060,32
03113-080,32
03114001,64
03118-001,32
03119000,32
03119-000,64
03120-001,32
03120010,64
03120015,32
03121020,32
03122010,96
03122030,32
03122060,64
03124010,32
03124-020,96
03125-040,32
03125050,32
03126-000,32
03126-090,32
03127010,32
03127-010,32
03127030,32
03127-030,96
03127040,32
03127-040,32
03127200,32
03128-170,96
03129010,64
03131030,32
03131-060,64
03132050,64
03132-080,32
03132125,32
03134-002,32
03136040,32
03139030,64
03142001,64
03142030,32
03143050,32
03144050,32
03147-030,32
03150-080,32
03153-000,32
03153110,32
03156-001,32
03158010,32
03161060,128
03162060,32
03162-060,64
03164120,32
03164-200,32
03165001,64
03166-001,32
03167-020,128
03167030,32
03168050,32
03169-030,32
03170050,32
03170-070,128
03171-040,32
03172-010,32
03177010,32
03177-090,32
03179-050,128
03179-070,32
03181-010,32
03181-100,32
03183-000,32
03183120,32
03184050,64
03186010,32
03186020,32
03187010,32
03187-020,32
03188000,64
03189-060,32
03202000,64
03203-030,32
03206-020,32
03208-030,32
03209052,32
03209055,32
03211000,96
03213-070,32
03220-300,64
03222-010,32
03227-030,64
03227070,32
03227-080,32
03236-000,32
03237-040,32
03238020,32
03240050,32
03242020,32
03250-000,32
03250-060,32
03254110,32
03254120,32
03254-350,32
03255-030,32
03257180,64
03259000,32
03262-070,128
03263-020,32
03263-080,32
03265-090,32
03274160,32
03275030,32
03276120,32
03282-001,32
03303-000,32
03304060,32
03308060,64
03308-060,64
03311000,64
03312-001,32
03312008,32
03312052,32
03312-052,32
03314000,64
03315-000,96
03316-020,32
03317-001,32
03317080,32
03318000,32
03318-000,32
03319-000,32
03320-000,64
03320-001,128
03321-001,32
03322-000,32
03322002,32
03324-002,96
03324020,32
03324-020,32
03325115,32
03332000,32
03333000,128
03333-000,160
03334000,32
03334-060,32
03335-020,128
03335045,64
03335070,32
03335-090,32
03336-000,64
03336010,32
03337-000,32
03337010,32
03337-010,32
03337070,32
03337080,32
03342-000,32
03343000,32
03344-015,32
03344-020,128
03345-000,32
03346000,64
03346-010,160
03347-020,32
03350020,32
03350090,32
03351-037,32
03355020,32
03355-020,32
03357000,32
03357010,32
03358020,32
03358-020,32
03359120,64
03361010,32
03362020,64
03362-030,96
03362070,32
03363000,64
03363-000,160
03364-020,64
03371-000,32
03372010,32
03372-010,32
03372-030,32
03375-000,64
03376-005,32
03378060,32
03379030,192
03380160,32
03380230,32
03401001,96
03401-001,32
03407040,32
03407-040,32
03407105,32
03408000,32
03408-000,64
03408-020,32
03410-000,64
03411-120,32
03412-000,32
03412080,64
03417000,64
03421-000,96
03423000,32
03425-000,32
03425030,96
03425-030,32
03425-060,32
03428000,64
03429020,32
03434-000,32
03437040,32
03440-005,64
03442110,32
03470000,32
03475015,32
03475-070,32
03476000,64
03477000,32
03502000,32
03508-030,64
03510-020,64
03512020,32
03512030,32
03513010,32
03517010,32
03521000,32
03521-010,32
03524000,96
03524020,32
03532040,32
03545030,32
03548000,32
03548-000,32
03555030,96
03555-050,96
03556-050,32
03556-601,32
03566010,32
03567110,32
03568-030,32
03576-160,32
03582060,32
03583030,64
03583040,32
03586-000,32
03587-010,32
03587-020,32
03588-040,64
03589-001,32
03590-060,32
03603-000,32
03605020,96
03608-020,32
03612-130,32
03613-000,32
03614000,32
03624-160,96
03625-050,32
03630-010,32
03632-000,32
03633-000,128
03641-000,32
03642-000,32
03644000,32
03645000,96
03647-000,32
03648000,32
03649000,32
03650000,64
03660-050,32
03663-000,64
03667020,32
03685-030,32
03685060,32
03688-000,32
03692000,64
03692040,64
03692060,32
03693060,32
03694000,32
03704-020,128
03711-011,32
03713-040,64
03727070,64
03727-080,32
03728-120,32
03729-010,32
03731-070,32
03732-010,64
03733-020,32
03734-140,64
03734-270,96
03735-180,32
03736-040,64
03755020,64
03757-000,32
03758-000,32
03807100,32
03808-130,32
03816-050,32
03817080,32
03820-000,32
03820-170,32
03820290,96
03821-230,64
03890-100,32
03891-000,32
03912-000,32
03916-000,32
03923037,32
03928235,32
03933020,32
03934-010,32
03959000,32
03960020,64
03962-010,32
03968030,32
03977-000,32
03978-380,32
03978390,128
03983020,32
03987070,64
04.534-013,64
04001-001,32
04001-002,32
04001004,32
04001086,32
04002002,32
04002003,32
04002020,32
04002-021,32
04002031,32
04002-031,32
04002-906,32
04003-001,32
04003-002,32
04003-003,64
04004000,32
04004-000,96
04004-010,32
04005-000,32
04005002,32
04005003,32
04005030,128
04005-030,32
04005-902,32
04006-001,32
04006002,32
04006-002,32
04006-003,32
04006-051,96
04006052,32
04006-052,64
04007001,64
04007-070,32
04008050,32
04008-050,64
04008060,32
04009003,32
04011-030,32
04011032,32
04011050,32
04011061,64
04011062,128
04011-900,32
04012000,128
04012-000,32
04012-001,32
04012-090,32
04012140,64
04012-140,32
04014012,64
04015040,32
04016001,64
04016-001,64
04016-002,32
04016-034,32
04017010,32
04017-080,64
04018001,128
04018030,64
04018-030,64
04018-033,128
04018060,32
04018-070,32
04019040,32
04020-040,64
04022001,32
04022-020,32
04023001,32
04024000,32
04024003,32
04024040,32
04025014,64
04026-000,32
04026040,32
04030000,32
04030010,64
04030040,32
04030080,32
04032-030,32
04032120,32
04036000,32
04037-002,32
04037005,32
04037-020,64
04038000,64
04038-000,32
04038001,32
04039-003,32
04040000,32
04040-030,32
04041003,32
04041-040,32
04041052,32
04041054,32
04042003,32
04042-005,32
04042-033,96
04043-150,32
04043200,32
04043-200,32
04044000,64
04044-010,32
04044020,64
04045-000,32
04048060,32
04049000,32
04050050,32
04052-020,32
04052-060,64
04052-090,64
04053043,64
04054010,32
04055041,32
04055110,32
04055-110,64
04057000,32
04065-003,32
04065-052,32
04066-003,32
04067041,64
04068021,32
04070-060,32
04075-020,64
04075023,32
04076000,96
04076010,32
04077000,32
04077-001,32
04077002,32
04077020,32
04077022,32
04077-905,32
04078010,32
04078-011,96
04078012,32
04078-013,64
04079000,32
04079-001,32
04080000,64
04080004,32
04080-013,32
04081001,32
04081004,96
04081010,32
04081905,32
04082-000,32
04082001,32
04084001,32
04086000,64
04086-000,32
04086002,32
04086-002,32
04087-002,32
04087003,128
04088002,32
04088-002,64
04089-010,32
04090-011,32
04101-000,32
04101-300,64
04101-901,32
04103-001,32
04104-020,32
04104-060,32
04105002,32
04105003,32
04105-060,32
04105-900,32
04106001,96
04107001,32
04107021,32
04108-020,32
04108070,32
04108-080,32
04109-060,32
04109-130,128
04110-030,96
04111-010,64
04111-020,32
04112-002,160
04112012,32
04112-012,32
04113-040,32
04114-100,32
04115000,128
04115-080,32
04116020,32
04116-020,32
04116060,64
04116130,32
04116190,32
04116-240,32
04117110,672
04117-110,64
04117120,32
04117-120,32
04119060,32
04119-060,32
04119061,32
04119-061,32
04119-062,32
04120-080,32
04120100,96
04120-150,64
04121001,32
04121-001,64
04122030,64
04125-010,160
04126-000,32
04126060,64
04127-000,32
04127001,32
04128-001,32
04130010,32
04130-010,64
04130080,32
04131-000,32
04131030,32
04134-001,32
04134070,64
04134090,96
04134-090,64
04135000,32
04135-001,32
04136111,32
04136-111,32
04137-060,32
04138-020,64
04139000,32
04139-020,32
04139060,32
04140000,64
04140-000,448
04140-040,32
04140-110,32
04141-100,32
04141-120,32
04142081,32
04142092,32
04143010,128
04143-010,128
04143020,32
04144020,32
04144-020,32
04144100,64
04145010,32
04145-030,32
04146-020,32
04146-050,32
04148-000,32
04148-010,32
04149-110,32
04151060,32
04151-080,32
04152020,32
04153001,32
04153-040,32
04153-090,32
04156030,32
04158-000,32
04159000,32
04159-001,64
04160001,64
04161-070,32
04162-001,96
04164-010,32
04165-000,32
04167-050,32
04168010,32
04176030,96
04180020,32
04180080,32
04182-135,32
04183-020,32
04183-050,32
04185-180,32
04187-280,32
04191-190,32
04193040,64
04193-055,32
04193250,32
04195-040,64
04195-050,64
04195-150,32
04201000,32
04204000,96
04204-000,64
04204-001,32
04205000,96
04205-000,64
04205001,64
04206-002,32
04207000,96
04207001,128
04207-002,64
04207040,32
04209000,64
04209-000,64
04209003,32
04209-003,64
04210060,96
04210080,32
04210-080,32
04210100,64
04211000,32
04211-000,32
04211-001,64
04211040,32
04211-040,32
04213-000,64
04213002,32
04213-002,32
04214000,32
04215000,32
04218-000,96
